phi,integrand
-8.0,2.6997865145154386e-07
-7.967935871743487,2.8246397370360996e-07
-7.935871743486974,2.917094974815172e-07
-7.903807615230461,2.9733907030957207e-07
-7.871743486973948,2.990599456451338e-07
-7.839679358717436,2.966741526413209e-07
-7.807615230460922,2.9008684266588304e-07
-7.775551102204409,2.7931131300623626e-07
-7.743486973947896,2.644706110389576e-07
-7.7114228456913825,2.457957053390032e-07
-7.679358717434869,2.236203880761567e-07
-7.647294589178357,1.9837318044096312e-07
-7.615230460921844,1.705667137761154e-07
-7.58316633266533,1.4078501925110923e-07
-7.551102204408818,1.096693733496003e-07
-7.519038076152305,7.790328858458423e-08
-7.486973947895791,4.6197327412425234e-08
-7.454909819639278,1.527433700998055e-08
-7.422845691382766,-1.4144314585671427e-08
-7.390781563126253,-4.1350976095880824e-08
-7.358717434869739,-6.566206060168295e-08
-7.326653306613227,-8.642617367169766e-08
-7.294589178356714,-1.0302990727820508e-07
-7.2625250501002,-1.1490123805507249e-07
-7.2304609218436875,-1.2151066573932187e-07
-7.198396793587174,-1.2237029944022296e-07
-7.166332665330662,-1.1703122897258186e-07
-7.134268537074148,-1.050795812843478e-07
-7.102204408817635,-8.613175458423833e-08
-7.070140280561122,-5.982929005146084e-08
-7.03807615230461,-2.5833865987150995e-08
-7.006012024048096,1.617713097557718e-08
-6.973947895791583,6.651410503388698e-08
-6.941883767535071,1.2547756410141297e-07
-6.909819639278557,1.9335906660451374e-07
-6.877755511022044,2.704408215485749e-07
-6.845691382765532,3.569940676808977e-07
-6.813627254509018,4.5327649465469933e-07
-6.781563126252505,5.595291382634418e-07
-6.7494989979959925,6.75973252632926e-07
-6.717434869739479,8.028078165618178e-07
-6.6853707414829655,9.402083262133035e-07
-6.653306613226453,1.0883276159538187e-06
-6.62124248496994,1.2472993915869232e-06
-6.589178356713427,1.4172451456744294e-06
-6.557114228456913,1.5982849997212358e-06
-6.525050100200401,1.7905529401300452e-06
-6.492985971943888,1.994216695865735e-06
-6.460921843687374,2.2095024073799973e-06
-6.428857715430862,2.436723964511775e-06
-6.396793587174349,2.676316755819778e-06
-6.364729458917835,2.9288753530200115e-06
-6.332665330661323,3.1951944781684435e-06
-6.30060120240481,3.476312480220302e-06
-6.268537074148296,3.7735563956685717e-06
-6.236472945891784,4.088587654002602e-06
-6.2044088176352705,4.423447413508007e-06
-6.1723446893787575,4.780600593959996e-06
-6.140280561122245,5.16297772549256e-06
-6.108216432865731,5.5740138782365865e-06
-6.076152304609218,6.017684113023746e-06
-6.044088176352706,6.498535094086668e-06
-6.012024048096192,7.021712746623822e-06
-5.979959919839679,7.592986065821687e-06
-5.947895791583167,8.218767429270509e-06
-5.915831663326653,8.906129967574626e-06
-5.88376753507014,9.662822718471798e-06
-5.851703406813628,1.049728441476041e-05
-5.819639278557114,1.1418656789947102e-05
-5.787575150300601,1.2436798284209502e-05
-5.755511022044089,1.356229889186117e-05
-5.7234468937875755,1.480649670330486e-05
-5.6913827655310625,1.6181496409356085e-05
-5.659318637274549,1.7700189631871915e-05
-5.627254509018036,1.9376276528456043e-05
-5.595190380761523,2.1224287581679182e-05
-5.563126252505009,2.3259603945680615e-05
-5.531062124248497,2.5498474159972152e-05
-5.498997995991984,2.7958024469502083e-05
-5.46693386773547,3.065625948234831e-05
-5.434869739478958,3.3612049442574203e-05
-5.402805611222445,3.6845100028016385e-05
-5.370741482965931,4.037590036683943e-05
-5.33867735470942,4.422564487309005e-05
-5.306613226452906,4.8416124587535166e-05
-5.274549098196394,5.2969583992215494e-05
-5.242484969939881,5.79085397241513e-05
-5.210420841683367,6.325555828727808e-05
-5.1783567134268536,6.903299071274636e-05
-5.146292585170341,7.526266316259776e-05
-5.114228456913827,8.196552365409554e-05
-5.082164328657314,8.916124641981683e-05
-5.050100200400802,9.686779681852801e-05
-5.018036072144289,0.0001051009611927272
-4.985971943887775,0.00011387384752615639
-4.953907815631263,0.00012319636418700212
-4.921843687374749,0.0001330746853653131
-4.889779559118237,0.00014351071298588763
-4.857715430861724,0.0001545015458565338
-4.825651302605211,0.0001660389675403403
-4.793587174348698,0.00017810896488258977
-4.761523046092185,0.00019069128924939662
-4.729458917835672,0.00020375907231517238
-4.697394789579159,0.0002172785076627795
-4.6653306613226455,0.00023120860852456803
-4.6332665330661325,0.00024550105070600696
-4.601202404809619,0.00026010010812003406
-4.569138276553106,0.00027494268644279266
-4.537074148296593,0.00028995845823057067
-4.50501002004008,0.00030507010046646344
-4.472945891783567,0.00032019363298266127
-4.440881763527054,0.0003352388536213096
-4.408817635270541,0.00035010986339778516
-4.376753507014029,0.0003647056724205289
-4.344689378757515,0.0003789208749526415
-4.312625250501002,0.0003926463798677446
-4.280561122244489,0.00040577018091337327
-4.248496993987976,0.00041817814972328873
-4.216432865731464,0.00042975483347232227
-4.18436873747495,0.00044038423848794054
-4.1523046092184375,0.0004499505810621572
-4.120240480961924,0.0004583389871715043
-4.0881763527054105,0.0004654361238164424
-4.056112224448898,0.0004711307462397005
-4.024048096192385,0.0004753141473515561
-3.991983967935872,0.0004778804982549825
-3.9599198396793587,0.0004787270717735297
-3.927855711422846,0.0004777543442876799
-3.895791583166333,0.00047486597491149614
-3.8637274549098195,0.0004699686650090904
-3.831663326653307,0.00046297190517480605
-3.799599198396794,0.0004537876209864976
-3.7675350701402808,0.0004423297329873465
-3.7354709418837677,0.00042851365035312394
-3.703406813627255,0.00041225572146061016
-3.6713426853707416,0.00039347266797634656
-3.6392785571142285,0.00037208103204017153
-3.607214428857716,0.0003479966685257091
-3.5751503006012024,0.0003211343161314556
-3.54308617234469,0.00029140728211561075
-3.5110220440881763,0.000258727275762237
-3.4789579158316637,0.0002230044251059466
-3.4468937875751506,0.0001841475100034394
-3.414829659318637,0.00014206444230153385
-3.3827655310621245,9.666302060784549e-05
-3.3507014028056115,4.785198303496822e-05
-3.3186372745490984,-4.457623699748777e-06
-3.2865731462925853,-6.035074622530467e-05
-3.2545090180360727,-0.00011990629143125426
-3.2224448897795592,-0.0001831947593811886
-3.190380761523046,-0.00025027555087832093
-3.1583166332665336,-0.0003211939663016752
-3.12625250501002,-0.0003959779204812429
-3.0941883767535074,-0.0004746344065322697
-3.062124248496994,-0.0005571457495266898
-3.0300601202404813,-0.0006434656984344261
-2.9979959919839683,-0.0007335154117043578
-2.9659318637274548,-0.0008271793979576325
-2.933867735470942,-0.0009243014783181342
-2.9018036072144295,-0.0010246808407050872
-2.8697394789579156,-0.0011280682587684607
-2.837675350701403,-0.0012341625488954363
-2.8056112224448904,-0.0013426073377165411
-2.7735470941883777,-0.0014529882096931662
-2.741482965931864,-0.0015648302996147886
-2.709418837675351,-0.0016775963881642006
-2.677354709418838,-0.0017906855501642783
-2.6452905811623246,-0.0019034323948006599
-2.6132264529058116,-0.002015106925179282
-2.581162324649299,-0.0021249150312456482
-2.5490981963927863,-0.0022319996156428597
-2.5170340681362724,-0.0023354423368524236
-2.48496993987976,-0.002434265938333849
-2.452905811623247,-0.0025274371167872925
-2.420841683366733,-0.002613869867576507
-2.3887775551102206,-0.002692429231260109
-2.356713426853708,-0.002761935352593301
-2.3246492985971954,-0.002821167752782147
-2.2925851703406814,-0.0028688697076864134
-2.260521042084169,-0.002903752619523799
-2.2284569138276558,-0.0029245002678336264
-2.1963927855711423,-0.0029297728273428632
-2.1643286573146296,-0.002918210546195557
-2.1322645290581166,-0.002888436987911388
-2.100200400801604,-0.0028390617544735773
-2.06813627254509,-0.002768682626032292
-2.0360721442885774,-0.0026758870746411817
-2.004008016032065,-0.00255925313488076
-1.9719438877755509,-0.0024173496426889937
-1.9398797595190382,-0.002248735884612855
-1.9078156312625256,-0.002051960732285871
-1.8757515030060128,-0.0018255613703885391
-1.843687374749499,-0.001568061759725516
-1.8116232464929862,-0.0012779710093480303
-1.7795591182364736,-0.0009537818618015562
-1.74749498997996,-0.0005939695225029894
-1.715430861723447,-0.0001969910868696136
-1.6833667334669344,0.00023871416390847458
-1.6513026052104216,0.0007147233166111483
-1.6192384769539079,0.0012326269436486363
-1.587174348697395,0.0017940245032117639
-1.5551102204408824,0.0024005177531562305
-1.5230460921843687,0.0030537019314163007
-1.4909819639278559,0.0037551544863430406
-1.4589178356713433,0.004506421179939474
-1.4268537074148304,0.005308999435203705
-1.3947895791583167,0.0061643188551223395
-1.362725450901804,0.007073718904450176
-1.3306613226452912,0.008038423815195843
-1.2985971943887775,0.0090595148513908
-1.2665330661322647,0.01013790014672843
-1.234468937875752,0.011274282408306146
-1.2024048096192392,0.012469124859118105
-1.1703406813627255,0.013722615869158971
-1.138276553106213,0.01503463279795752
-1.1062124248497,0.016404705638013117
-1.0741482965931863,0.01783198110692239
-1.0420841683366735,0.019315187884036744
-1.0100200400801609,0.020852603723484048
-0.9779559118236482,0.022442025197733074
-0.9458917835671343,0.024080740833235144
-0.9138276553106216,0.02576550839098979
-0.8817635270541089,0.027492537019439635
-0.849699398797595,0.029257474964553838
-0.8176352705410824,0.031055403462358327
-0.7855711422845697,0.03288083736297159
-0.753507014028057,0.03472773294327286
-0.7214428857715431,0.03658950325896123
-0.6893787575150304,0.0384590412676308
-0.6573146292585177,0.040328750824650206
-0.6252505010020039,0.04219058551548128
-0.5931863727454912,0.04403609514429079
-0.5611222444889785,0.045856479552214106
-0.5290581162324658,0.047642649292517554
-0.49699398797595196,0.04938529254738451
-0.4649298597194393,0.05107494753534389
-0.43286573146292656,0.05270207953266572
-0.4008016032064127,0.05425716151943755
-0.36873747494990006,0.05573075736437095
-0.33667334669338733,0.05711360638427587
-0.3046092184368746,0.05839670805682334
-0.27254509018036077,0.05957140563055305
-0.2404809619238481,0.060629467365442044
-0.20841683366733538,0.06156316415161586
-0.17635270541082157,0.062365342293284706
-0.14428857715430884,0.06302949030948556
-0.11222444889779615,0.06354979869191162
-0.08016032064128345,0.06392121167162253
-0.04809619238476962,0.06413947017884429
-0.016032064128256918,0.06420114533093153
0.016032064128255787,0.06410366194997665
0.04809619238476962,0.06384531179017752
0.08016032064128233,0.06342525634226048
0.11222444889779502,0.06284351927406215
0.14428857715430773,0.062100968758706215
0.17635270541082157,0.061199290130475356
0.20841683366733427,0.0601409494893129
0.24048096192384696,0.058929149043828725
0.27254509018036077,0.057567775135889176
0.3046092184368735,0.05606134002380153
0.3366733466933862,0.054414918612609504
0.3687374749498989,0.0526340814064333
0.4008016032064127,0.05072482501698025
0.43286573146292545,0.048693501592799
0.4649298597194381,0.0465467485346724
0.49699398797595196,0.044291419833533865
0.5290581162324647,0.04193452030893466
0.5611222444889774,0.03948314393955324
0.59318637274549,0.03694441736435915
0.6252505010020039,0.03432544949627603
0.6573146292585166,0.03163328803258
0.6893787575150293,0.02887488347135457
0.7214428857715431,0.026057061055094432
0.7535070140280559,0.023186500865299987
0.7855711422845686,0.020269726090205623
0.8176352705410812,0.017313099286307632
0.849699398797595,0.014322826257806686
0.8817635270541078,0.011304966991067443
0.9138276553106205,0.008265452908124055
0.9458917835671343,0.005210109548229733
0.977955911823647,0.002144683653128799
1.0100200400801598,-0.0009251264766847282
1.0420841683366724,-0.0039936385683664345
1.0741482965931863,-0.007055153170880568
1.106212424849699,-0.010103920942752205
1.1382765531062116,-0.013134111708726498
1.1703406813627255,-0.016139786519078967
1.2024048096192381,-0.019114873873656808
1.234468937875751,-0.022053151172622888
1.2665330661322636,-0.02494823232967028
1.2985971943887775,-0.027793562334136174
1.3306613226452901,-0.03058241937947485
1.3627254509018027,-0.03330792499093629
1.3947895791583167,-0.0359630623893662
1.4268537074148293,-0.038540703125422536
1.4589178356713421,-0.0410336418139316
1.4909819639278548,-0.0434346385963828
1.5230460921843687,-0.0457364687654009
1.5551102204408813,-0.047931978802947375
1.587174348697394,-0.050014147918216026
1.6192384769539079,-0.051976154025501084
1.6513026052104205,-0.05381144298007157
1.6833667334669333,-0.055513799794012886
1.715430861723446,-0.05707742048624698
1.74749498997996,-0.05849698318292778
1.7795591182364725,-0.059767717076903065
1.8116232464929851,-0.06088546787792885
1.843687374749499,-0.061846758438147194
1.8757515030060117,-0.0626488433186043
1.9078156312625245,-0.063289756170279
1.9398797595190371,-0.06376834893458426
1.9719438877755509,-0.06408432202047719
2.0040080160320635,-0.06423824478458412
2.0360721442885765,-0.06423156582319786
2.06813627254509,-0.06406661277647512
2.100200400801603,-0.06374658154133811
2.1322645290581157,-0.06327551498611249
2.1643286573146283,-0.06265827145254334
2.196392785571141,-0.061900483515392936
2.228456913827655,-0.06100850764248191
2.260521042084169,-0.05998936555529875
2.29258517034068,-0.05885067822905518
2.324649298597194,-0.057600593588739805
2.356713426853708,-0.05624770905223672
2.3887775551102193,-0.05480099014145202
2.420841683366733,-0.053269686426732396
2.452905811623245,-0.051663246088377295
2.484969939879759,-0.04999123037202213
2.5170340681362724,-0.048263229182991196
2.549098196392784,-0.046488779009751346
2.581162324649298,-0.044677284290236347
2.6132264529058116,-0.04283794323934223
2.6452905811623233,-0.04097967904396088
2.6773547094188372,-0.039111077206464714
2.709418837675351,-0.03724032968169418
2.7414829659318625,-0.0353751863094842
2.7735470941883764,-0.03352291389788795
2.8056112224448904,-0.03169026316475852
2.8376753507014016,-0.029883443600351674
2.8697394789579156,-0.028108106174083523
2.9018036072144273,-0.026369333677191027
2.9338677354709413,-0.024671638372206775
2.9659318637274548,-0.023018966511931672
2.9979959919839665,-0.021414709196630362
3.0300601202404804,-0.019861718959769854
3.062124248496994,-0.01836233141063133
3.0941883767535057,-0.01691839121698842
3.1262525050100196,-0.015531281682821037
3.1583166332665336,-0.014201957164368666
3.190380761523045,-0.012930977572025463
3.222444889779559,-0.011718544224627333
3.2545090180360727,-0.010564536355264179
3.286573146292584,-0.009468547612337012
3.318637274549098,-0.00842992195444834
3.3507014028056097,-0.007447788400998828
3.3827655310621236,-0.006521094170129288
3.414829659318637,-0.0056486358099220695
3.446893787575149,-0.0048290880056057195
3.478957915831663,-0.00406102982300046
3.5110220440881763,-0.0033429682248217385
3.543086172344688,-0.0026733587700744302
3.575150300601202,-0.002050623476162898
3.607214428857716,-0.0014731658872332515
3.639278557114227,-0.0009393834496021838
3.671342685370741,-0.0004476773450863619
3.703406813627255,3.540024972744152e-06
3.7354709418837664,0.0004158396785488563
3.7675350701402803,0.0007907725630293136
3.799599198396792,0.0011298676681962333
3.8316633266533056,0.0014346314650809993
3.8637274549098195,0.00170654839272004
3.8957915831663312,0.0019470821209630219
3.927855711422845,0.00215767732995141
3.9599198396793587,0.0023397617648716756
3.9919839679358704,0.002494748347187348
4.024048096192384,0.002624037149824238
4.056112224448898,0.0027290170727421424
4.08817635270541,0.002811067086034292
4.1202404809619235,0.0028715569392061017
4.1523046092184375,0.0029118472667161227
4.184368737474949,0.0029332890504244423
4.216432865731463,0.0029372224285348024
4.248496993987974,0.002924974867323645
4.280561122244488,0.002897858735889273
4.312625250501002,0.002857168344924581
