El,r,dHdphiext_over_Delta_sqr,d2E01dphi2_Hz,dHdr_over_Delta_sqr,f01_derivative_Hz
16844865.640996374,0.31,2.756658495301067e-05,241416.69519168814,0.0,4207996735.1594505
16844865.640996374,0.33,2.928334448883074e-05,208907.26256616335,0.0,3922276923.0765233
16844865.640996374,0.35000000000000003,3.088218998445456e-05,181324.06165919348,0.0,3653683016.5765467
16844865.640996374,0.37,3.2371219942547125e-05,157823.70272370963,0.0,3402304191.072368
16844865.640996374,0.39,3.3757998849820376e-05,137776.45347044634,0.0,3167553908.2484164
16844865.640996374,0.41000000000000003,3.504953200771704e-05,120490.98850525531,0.0,2948562939.68226
16844865.640996374,0.43,3.6252279652656e-05,105584.98028627374,0.0,2744315200.349525
16844865.640996374,0.45,3.737217859793497e-05,92695.30502791256,0.0,2553693117.276599
16844865.640996374,0.47000000000000003,3.8414671042877584e-05,81500.41717843911,0.0,2375595083.8678107
16844865.640996374,0.49,3.938474223137332e-05,71897.97863517838,0.0,2209023740.606579
16844865.640996374,0.51,4.028696176094966e-05,63310.38720828971,0.0,2053047457.7483149
16844865.640996374,0.53,4.112552255815772e-05,55988.75419380738,0.0,1906763210.674396
16844865.640996374,0.55,4.1904273245797554e-05,49386.142455425455,0.0,1769349854.3736756
16844865.640996374,0.5700000000000001,4.262674686144529e-05,43637.32485427071,0.0,1640097272.9430676
16844865.640996374,0.59,4.3296192137857376e-05,38576.003202458014,0.0,1518353326.923738
16844865.640996374,0.61,4.391560351254424e-05,34021.14160282095,0.0,1403496439.899186
16844865.640996374,0.63,4.44877428395368e-05,30021.485594130052,0.0,1294971860.013668
16844865.640996374,0.65,4.5015157794499704e-05,26361.504780877494,0.0,1192299666.3134542
16844865.640996374,0.67,4.550020325452884e-05,23179.840795772598,0.0,1095034835.1760054
16844865.640996374,0.6900000000000001,4.594506047131291e-05,20269.67904002396,0.0,1002754977.386701
16844865.640996374,0.7100000000000001,4.6351750211978786e-05,17635.31104805543,0.0,915083712.5075632
16844865.640996374,0.73,4.6722145535655295e-05,15320.812303995348,0.0,831690508.625269
16844865.640996374,0.75,4.705798598452151e-05,13240.568416634787,0.0,752265550.1930999
16844865.640996374,0.77,4.736088863849389e-05,11196.392098652948,0.0,676515139.1457807
16844865.640996374,0.79,4.763235674999883e-05,9310.00955326041,0.0,604176481.033718
16844865.640996374,0.81,4.7873789429504934e-05,7841.55757156844,0.0,535016264.65141594
16844865.640996374,0.8300000000000001,4.808649041304731e-05,6380.091008451796,0.0,468813645.98626417
16844865.640996374,0.85,4.827167455260126e-05,5120.773905331326,0.0,405357585.08235
16844865.640996374,0.87,4.843047466900706e-05,3839.9548874687903,0.0,344459448.8291469
16844865.640996374,0.89,4.856394805223679e-05,2794.442717562017,0.0,285951940.22998947
16844865.640996374,0.91,4.867308077439768e-05,1892.9845279025049,0.0,229671991.50173286
16844865.640996374,0.93,4.8758792617181066e-05,1035.5231688194667,0.0,175457609.85518768
16844865.640996374,0.9500000000000001,4.882194221903325e-05,668.8993001721569,0.0,123171036.12272726
16844865.640996374,0.97,4.886332826530619e-05,233.1881179023035,0.0,72669291.9847376
16844865.640996374,0.99,4.888369111066999e-05,67.86326772158908,0.0,23867933.29222084
20042723.493347347,0.01,2.169389844732576e-08,9177407.511730783,0.0,383670805.0244911
20042723.493347347,0.03,2.1830843919026523e-07,5289078.241771029,0.0,1174677180.057312
20042723.493347347,0.05,7.32696077316932e-07,2014961.2303861636,0.0,2125913131.4180462
20042723.493347347,0.06999999999999999,1.7786696710106438e-06,338722.9590071845,0.0,3214858850.17275
20042723.493347347,0.09,3.552768323954529e-06,335157.46691792284,0.0,4326762952.247735
20042723.493347347,0.11,6.0765225521940746e-06,528113.9034585855,0.0,5275782576.963754
20042723.493347347,0.13,9.159721078127431e-06,525543.6614616631,0.0,5929201523.264254
20042723.493347347,0.15000000000000002,1.2529032577658461e-05,458885.6303814761,0.0,6264958334.94719
20042723.493347347,0.17,1.596011377872459e-05,380861.9312404357,0.0,6340234769.156473
20042723.493347347,0.19,1.931603697792037e-05,309248.14755154634,0.0,6234285423.151791
20042723.493347347,0.21000000000000002,2.2527869222465113e-05,248785.0140050515,0.0,6015930053.27313
20042723.493347347,0.23,2.556671442116579e-05,199285.78003165647,0.0,5734991886.446548
20042723.493347347,0.25,2.8424426162699792e-05,160322.59734635497,0.0,5424357124.504645
20042723.493347347,0.27,3.110294881412315e-05,128924.12401966215,0.0,5104544291.838865
20042723.493347347,0.29000000000000004,3.360891890452967e-05,104028.26427184427,0.0,4787844036.849943
20042723.493347347,0.31,3.595100009139466e-05,84360.82318886039,0.0,4481306941.419854
20042723.493347347,0.33,3.813855973857373e-05,68506.66852341485,0.0,4188675801.182544
20042723.493347347,0.35000000000000003,4.018100493801151e-05,55897.85280915881,0.0,3911639870.4041123
20042723.493347347,0.37,4.2087448118836626e-05,45774.04444979638,0.0,3650685568.6952376
20042723.493347347,0.39,4.3866540983577755e-05,37672.30830241723,0.0,3405617645.2388163
20042723.493347347,0.41000000000000003,4.5526403498614096e-05,31129.959932307607,0.0,3175829924.184278
20042723.493347347,0.43,4.707460774749415e-05,25796.305272997037,0.0,2960481077.1498775
20042723.493347347,0.45,4.851818507754847e-05,21605.211434905064,0.0,2758646235.572069
20042723.493347347,0.47000000000000003,4.9863643367819374e-05,18084.049224853516,0.0,2569400220.48302
20042723.493347347,0.49,5.1116996696017985e-05,15078.859230906688,0.0,2391830324.9409475
20042723.493347347,0.51,5.228380310165319e-05,12616.01988802251,0.0,2225048828.0510807
20042723.493347347,0.53,5.336919877679665e-05,10595.356066202377,0.0,2068226173.567627
20042723.493347347,0.55,5.43779274716964e-05,9025.986661616058,0.0,1920603133.2598763
20042723.493347347,0.5700000000000001,5.5314371787039116e-05,7707.723637217097,0.0,1781475390.3237438
20042723.493347347,0.59,5.618258555378118e-05,6484.51834609828,0.0,1650186547.1516325
20042723.493347347,0.61,5.698632130355997e-05,5538.576657010107,0.0,1526136332.3643026
20042723.493347347,0.63,5.772905334331832e-05,4641.562393031168,0.0,1408780394.0813987
20042723.493347347,0.65,5.8414000635066374e-05,4027.460039276438,0.0,1297618785.9277484
20042723.493347347,0.67,5.9044149093767245e-05,3460.249949976341,0.0,1192189909.9083874
20042723.493347347,0.6900000000000001,5.962227066468645e-05,2955.6726671985743,0.0,1092071787.0184226
20042723.493347347,0.7100000000000001,6.015093986246506e-05,2481.858754895397,0.0,996879986.3315382
20042723.493347347,0.73,6.063254963517182e-05,2009.6572404055255,0.0,906261284.582009
20042723.493347347,0.75,6.106932621979065e-05,1671.2060908681335,0.0,819889834.2969655
20042723.493347347,0.77,6.14633421312658e-05,1364.334342405968,0.0,737466417.407066
20042723.493347347,0.79,6.181652783424179e-05,1115.2877021081665,0.0,658716648.3025497
20042723.493347347,0.81,6.21306826918367e-05,921.5541721619282,0.0,583387583.2946658
20042723.493347347,0.8300000000000001,6.240748493759334e-05,714.9067121682706,0.0,511245200.8485342
20042723.493347347,0.85,6.264850059275678e-05,641.508200733932,0.0,442073324.04042006
20042723.493347347,0.87,6.285519167824395e-05,375.9148194617833,0.0,375672535.72466224
20042723.493347347,0.89,6.302892374927947e-05,459.5038817100918,0.0,311858111.9548765
20042723.493347347,0.91,6.317097265967673e-05,298.02813972394483,0.0,250458422.02185518
20042723.493347347,0.93,6.328253078502567e-05,92.22128956588271,0.0,191312579.9024076
20042723.493347347,0.9500000000000001,6.336471273567517e-05,21.11847867670747,0.0,134275446.11313093
20042723.493347347,0.97,6.3418560320289e-05,4.217796718951352,0.0,79196048.2225079
20042723.493347347,0.99,6.34450470543148e-05,9.620312562922841,0.0,25990283.295556396
23847668.102089796,0.01,4.55654864633651e-08,15391430.93590884,0.0,493275330.12342227
23847668.102089796,0.03,4.4173742196282203e-07,10611662.53163642,0.0,1513383835.441722
23847668.102089796,0.05,1.388095168430543e-06,5768032.017442368,0.0,2631687177.330966
23847668.102089796,0.06999999999999999,3.1108721244821005e-06,2740408.499216296,0.0,3802695533.310257
23847668.102089796,0.09,5.745425357284205e-06,1174298.0013188627,0.0,4897507203.6348
23847668.102089796,0.11,9.205202146395647e-06,435598.18538193847,0.0,5768484960.348228
23847668.102089796,0.13,1.3221198655243654e-05,108317.84833337841,0.0,6337110878.797473
23847668.102089796,0.15000000000000002,1.7492913340334788e-05,28512.468043061883,0.0,6613036299.348637
23847668.102089796,0.17,2.179339442657701e-05,79413.69420474337,0.0,6656884969.012088
23847668.102089796,0.19,2.5986505421557964e-05,92917.48902232379,0.0,6539001848.474164
23847668.102089796,0.21000000000000002,3.0002646182769427e-05,90503.6582160242,0.0,6318611074.778454
23847668.102089796,0.23,3.381161931111923e-05,82135.46595622583,0.0,6038947453.425431
23847668.102089796,0.25,3.7404287886361495e-05,71867.2029750863,0.0,5729288696.582055
23847668.102089796,0.27,4.0782200206919596e-05,62439.84478036153,0.0,5408583022.251385
23847668.102089796,0.29000000000000004,4.3952132455998225e-05,53147.896048948925,0.0,5088664128.300069
23847668.102089796,0.31,4.692328641148432e-05,45647.57445423872,0.0,4776638040.238815
23847668.102089796,0.33,4.970584627357869e-05,38550.5833576635,0.0,4476553280.591843
23847668.102089796,0.35000000000000003,5.231022062419368e-05,32718.86491283928,0.0,4190522533.2638073
23847668.102089796,0.37,5.474663985788851e-05,27549.500317917653,0.0,3919438545.6673822
23847668.102089796,0.39,5.702494802497549e-05,23577.432042544642,0.0,3663428019.5026817
23847668.102089796,0.41000000000000003,5.915450008802374e-05,19978.056248930316,0.0,3422156004.282742
23847668.102089796,0.43,6.114411434937307e-05,16963.830928212585,0.0,3195028964.7689776
23847668.102089796,0.45,6.300205801071595e-05,14437.154396293092,0.0,2981315786.780072
23847668.102089796,0.47000000000000003,6.473605571089157e-05,12174.7783778869,0.0,2780217835.930616
23847668.102089796,0.49,6.635331068812248e-05,10303.42849259524,0.0,2590917912.2300467
23847668.102089796,0.51,6.786053023327785e-05,8637.133332871897,0.0,2412614891.5375624
23847668.102089796,0.53,6.926395334352246e-05,7289.689840729704,0.0,2244541117.649638
23847668.102089796,0.55,7.056938078137915e-05,6100.330156149322,0.0,2085968601.0152318
23847668.102089796,0.5700000000000001,7.178220571989301e-05,5174.725326066164,0.0,1936213218.2784178
23847668.102089796,0.59,7.290744272223105e-05,4335.3936106888295,0.0,1794638064.9404826
23847668.102089796,0.61,7.3949754869615e-05,3585.7171127476645,0.0,1660653206.8616743
23847668.102089796,0.63,7.49134797158239e-05,2929.1467568309026,0.0,1533712770.2573876
23847668.102089796,0.65,7.580265387457283e-05,2443.544643441426,0.0,1413312245.2520013
23847668.102089796,0.67,7.662103567146544e-05,2095.074997734777,0.0,1298986381.7174258
23847668.102089796,0.6900000000000001,7.737212591461108e-05,1619.2701673999272,0.0,1190306556.878571
23847668.102089796,0.7100000000000001,7.805918715566143e-05,1285.5726419035923,0.0,1086877629.7954981
23847668.102089796,0.73,7.868526153305488e-05,1035.557579748409,0.0,988335085.4687976
23847668.102089796,0.75,7.925318713169707e-05,798.0386006463434,0.0,894342622.3690505
23847668.102089796,0.77,7.97656129535405e-05,520.3178248454615,0.0,804589836.1856148
23847668.102089796,0.79,8.022501268288144e-05,535.2718313944708,0.0,718789922.2208756
23847668.102089796,0.81,8.063369734509584e-05,256.42041078547845,0.0,636677575.9189808
23847668.102089796,0.8300000000000001,8.099382690942662e-05,208.81534851703444,0.0,558007152.3094506
23847668.102089796,0.85,8.130742092503142e-05,56.237289586018065,0.0,482550982.4686498
23847668.102089796,0.87,8.157636829076852e-05,89.07514749114046,0.0,410097836.75173235
23847668.102089796,0.89,8.180243622644349e-05,80.97874749567093,0.0,340451374.32490635
23847668.102089796,0.91,8.198727850524953e-05,14.246124582192337,0.0,273429252.72861594
23847668.102089796,0.93,8.21324430178298e-05,95.15605021997825,0.0,208860452.07189646
23847668.102089796,0.9500000000000001,8.223937872327537e-05,3.8245289596085694,0.0,146589884.31079298
23847668.102089796,0.97,8.230944202631593e-05,60.75495297146827,0.0,86456260.03452653
23847668.102089796,0.99,8.234390263547891e-05,50.16130270417204,0.0,28370043.71478352
28374949.846322022,0.01,8.993189805331902e-08,24574327.23782726,0.0,616728225.2408599
28374949.846322022,0.03,8.430716303920275e-07,18141920.31953753,0.0,1885505292.1521854
28374949.846322022,0.05,2.49858713328177e-06,10958811.208144905,0.0,3165697254.9218755
28374949.846322022,0.06999999999999999,5.2232836470834566e-06,5979115.306716602,0.0,4398483674.482654
28374949.846322022,0.09,9.024885638172145e-06,3120606.149594808,0.0,5461648329.879334
28374949.846322022,0.11,1.3688112859376853e-05,1602594.2010977832,0.0,6256041419.904194
28374949.846322022,0.13,1.8876168805857893e-05,821668.9124549786,0.0,6749860288.314745
28374949.846322022,0.15000000000000002,2.4273597976209364e-05,419103.63718406437,0.0,6974703220.115168
28374949.846322022,0.17,2.965674366769134e-05,211164.50644031016,0.0,6991558403.332037
