"width [um]","re(Mode(1)) []"
0.5,13757302508.0981
0.888888888888889,13747527123.8272
1.27777777777778,13734546764.8453
1.6,13720438927.3033
1.66666666666667,13721401905.1349
2.05555555555556,13707351985.4254
2.44444444444444,13693873309.5562
2.83333333333333,13681312476.0127
3.22222222222222,13665837349.619
3.61111111111111,13652848173.4985
4,13640661497.9668
