# El	 r	 dHdphiext_over_Delta_sqr	 d2f01dphi2_GHz	 dHdr_over_Delta_sqr	 df01dr_GHz 
10000000.0	0.01	1.1931098360997995e-09	1426.4401320217564	1.268969109459991e-06	0.1394992736055966
10000000.0	0.03	4.2855167370874006e-09	1943.4094552442411	3.2235500140438947e-07	0.23024646428373483
10000000.0	0.05	1.875559438437408e-08	2180.1851679047836	5.498364615115914e-07	0.4929026950576421
10000000.0	0.06999999999999999	7.671669453377559e-08	2328.2995677686513	1.6808005094826384e-06	0.9928174337812149
10000000.0	0.09	2.663431827898197e-07	2458.313809295928	5.2022168114320665e-06	1.8215185426135099
10000000.0	0.11	7.457093380297715e-07	2563.6074905818273	1.3692148649292564e-05	2.919659975244392
10000000.0	0.13	1.640545693613667e-06	2600.816057368964	2.8911036724282396e-05	4.005650770192376
10000000.0	0.15000000000000002	2.892514769065161e-06	2549.022194456246	4.923692429043839e-05	4.763302184477536
10000000.0	0.17	4.313090796904442e-06	2430.8700561468113	7.083833003204508e-05	5.0973009522790855
10000000.0	0.19	5.7447320824173005e-06	2280.8793023393137	9.060957898308814e-05	5.10696049366748
10000000.0	0.21000000000000002	7.108947817391044e-06	2122.607492069306	0.00010703930800245948	4.927530078886333
10000000.0	0.23	8.37850289405591e-06	1967.829295575511	0.00011973355769316586	4.657062355557837
10000000.0	0.25	9.549130487032949e-06	1821.3477854350701	0.00012883793395574358	4.35302574733643
10000000.0	0.27	1.0625217272896964e-05	1684.5932778694282	0.00013470739951830938	4.045685080333714
10000000.0	0.29000000000000004	1.1613913453721851e-05	1557.5686728824523	0.00013777816669907544	3.7498473079261925
10000000.0	0.31	1.2522869295881843e-05	1439.7410635075507	0.000138489673804381	3.4720026711469143
10000000.0	0.33	1.335938531869452e-05	1330.4101044305999	0.00013724766405448364	3.214217958289155
10000000.0	0.35000000000000003	1.4130122686952083e-05	1228.8414774445248	0.0001344232043476233	2.9763972400950434
10000000.0	0.37	1.4841051414927765e-05	1134.3488473425732	0.00013033697499751138	2.7574907272709828
10000000.0	0.39	1.549748347473111e-05	1046.3468645203156	0.00012526356873559602	2.5560069896664777
10000000.0	0.41000000000000003	1.6104119429380363e-05	964.3086774207948	0.00011945161478202094	2.3703241488433093
10000000.0	0.43	1.6665112769687255e-05	887.7422030839941	0.00011310708321471375	2.1988895343940755
10000000.0	0.45	1.718415114280956e-05	816.2397769880429	0.00010639334835234686	2.040258979094769
10000000.0	0.47000000000000003	1.7664513529325294e-05	749.4549218822841	9.946111508508252e-05	1.8931195294424836
10000000.0	0.49	1.81091105835012e-05	687.0488788900369	9.24381363514416e-05	1.7563126012220434
10000000.0	0.51	1.8520543382933476e-05	628.7206607062507	8.541921931528351e-05	1.6288160795176534
10000000.0	0.53	1.890115234522139e-05	574.2117381547733	7.848854291481053e-05	1.5097400139522308
10000000.0	0.55	1.9253042111132046e-05	523.2729933690125	7.171693002134963e-05	1.3983178494106225
10000000.0	0.5700000000000001	1.9578118708910792e-05	475.6745190407316	6.51572047637523e-05	1.293889891984985
10000000.0	0.59	1.987812370905936e-05	431.19975520799204	5.885433286962764e-05	1.1958914394523905
10000000.0	0.61	2.0154648759437038e-05	389.6490453750801	5.2839057356464325e-05	1.1038292599817756
10000000.0	0.63	2.0409162145583697e-05	350.84223892830437	4.713926648196927e-05	1.0173030426431302
10000000.0	0.65	2.0643029356664027e-05	314.56725830655165	4.1777602047185526e-05	0.9359545434430053
10000000.0	0.67	2.0857515625807504e-05	280.6663004974806	3.67479982247246e-05	0.8593790404743773
10000000.0	0.6900000000000001	2.1053802229419172e-05	249.06679709560547	3.206471582862609e-05	0.7873089877506834
10000000.0	0.7100000000000001	2.123298684636098e-05	219.53623485236452	2.775715789760782e-05	0.7195486840317663
10000000.0	0.73	2.139607772305517e-05	191.8615355281448	2.378386096604305e-05	0.655556015962194
10000000.0	0.75	2.1544018816514165e-05	166.1792024687406	2.012479602184172e-05	0.5949093599991052
10000000.0	0.77	2.1677660030617075e-05	142.4047077501477	1.6840243089028912e-05	0.5376582507142414
10000000.0	0.79	2.1797721760988464e-05	120.12931625939166	1.3895325796346317e-05	0.48321625295889875
10000000.0	0.81	2.1904870620135425e-05	99.56218670307605	1.1214805004253938e-05	0.4306591617013363
10000000.0	0.8300000000000001	2.1999710237496434e-05	81.03551748946794	8.858916923066907e-06	0.3802078205308972
10000000.0	0.85	2.2082676396570782e-05	64.08555251820266	6.842984195657214e-06	0.3317936448460005
10000000.0	0.87	2.2154134822087087e-05	48.656958379491506	5.075268001002869e-06	0.28414607629589006
10000000.0	0.89	2.2214479666646224e-05	35.41601859830745	3.5710560824172346e-06	0.2372913649017353
10000000.0	0.91	2.2264011515981706e-05	24.23033132295221	2.3714215058455543e-06	0.19203107220902618
10000000.0	0.93	2.2302957965238254e-05	14.765042036123159	1.4226992299689701e-06	0.14751440553082437
10000000.0	0.9500000000000001	2.2331628025028355e-05	7.562264473346261	7.10361919681837e-07	0.10348079612149116
10000000.0	0.97	2.2350376428868732e-05	2.834044211098124	2.523497320561542e-07	0.06095030540319078
10000000.0	0.99	2.235955395288038e-05	0.3346923334820374	2.810552645094199e-08	0.020293125774658024
11898416.954165636	0.01	1.8742752777433817e-09	2088.696437081799	1.771929872705753e-05	0.1731301048537262
11898416.954165636	0.03	1.2316741160388619e-08	2667.6438546887	8.67664791100422e-06	0.35592706624001225
11898416.954165636	0.05	5.150193311546659e-08	3087.881373885791	9.954383274962125e-06	0.7449233361809737
11898416.954165636	0.06999999999999999	1.8652266205692723e-07	3452.389904430701	1.708845982761389e-05	1.4043738398100496
11898416.954165636	0.09	5.608194865589064e-07	3780.106752661508	3.1993682440262954e-05	2.378089549041675
11898416.954165636	0.11	1.3601643452646225e-06	3968.778351778823	5.591205550735472e-05	3.51618137995097
11898416.954165636	0.13	2.653923315521817e-06	3927.667610285815	8.575156558225198e-05	4.5202155966191055
