5.000000000000000278e-02 3.901162180222782841e-06 1.840805382109756749e+00 0.000000000000000000e+00 -5.540618267200469971e+07 -3.388846758403142452e+09 -2.922981525757538319e+09 -1.085000974164173841e+09 8.905917617482212782e+08 1.641970110842889547e+09 5.890323576032602310e+09
5.959595959595959808e-02 6.540562532161831293e-06 2.534589985138548940e+00 0.000000000000000000e+00 -4.624738911220550537e+07 -3.468180493259403706e+09 -2.954115221934385300e+09 -1.109521189224735022e+09 8.848110163924102783e+08 1.698996472668723583e+09 5.895293703522570610e+09
6.919191919191919338e-02 1.041389087401822569e-05 3.298884255585722070e+00 0.000000000000000000e+00 -3.812119936489105225e+07 -3.559023774472402573e+09 -2.990452219709838390e+09 -1.137172229507664204e+09 8.779113170475772619e+08 1.762162880806754827e+09 5.901018250069034576e+09
7.878787878787879562e-02 1.588532182373440069e-05 4.117301870281242948e+00 0.000000000000000000e+00 -3.116009441745758057e+07 -3.660446900301605225e+09 -3.031879731933053970e+09 -1.167654949515388966e+09 8.698464677562335730e+08 1.830112208016632557e+09 5.907443311597718239e+09
8.838383838383838398e-02 2.334803172385678811e-05 4.975102552459014227e+00 0.000000000000000000e+00 -2.533736132171630859e+07 -3.771511136656642914e+09 -3.078273164220149040e+09 -1.200731204572551250e+09 8.605669468980286121e+08 1.901532927804819584e+09 5.914508450137958527e+09
9.797979797979797234e-02 3.320722579610626142e-05 5.859577940802176421e+00 0.000000000000000000e+00 -2.054329461948394775e+07 -3.891295784327017784e+09 -3.129497790471924305e+09 -1.236222036493268490e+09 8.500210369305365086e+08 1.975189806208987236e+09 5.922147260827878952e+09
1.075757575757575746e-01 4.586332275290169334e-05 6.760155628575171605e+00 0.000000000000000000e+00 -1.663604339859008789e+07 -4.018918542749371052e+09 -3.185410433365621567e+09 -1.274000103428113461e+09 8.381559202843970060e+08 2.049942736892314196e+09 5.930287978555484772e+09
1.171717171717171629e-01 6.169697358453258694e-05 7.668301072127086115e+00 0.000000000000000000e+00 -1.347115215522766113e+07 -4.153549360662608147e+09 -3.245861106258166790e+09 -1.313979617715346813e+09 8.249187076165107489e+08 2.124756994285077810e+09 5.938854114015207291e+09
1.267676767676767513e-01 8.105691485874728897e-05 8.577298419526856676e+00 0.000000000000000000e+00 -1.091625399604797363e+07 -4.294418586003131390e+09 -3.310694580724312305e+09 -1.356106052815876722e+09 8.102573720846999884e+08 2.198707724973763466e+09 5.947765108620092392e+09
1.363636363636363535e-01 1.042510242647553138e-04 9.481977221844983816e+00 0.000000000000000000e+00 -8.856814057388305664e+06 -4.440820530690808296e+09 -3.379751851930064678e+09 -1.400346910996464491e+09 7.941215716007875204e+08 2.270980764310484409e+09 5.956936998112668037e+09
1.459595959595959558e-01 1.315404808349519372e-04 1.037843224456642233e+01 0.000000000000000000e+00 -7.197067013626098633e+06 -4.592113617056456566e+09 -3.452871482353085041e+09 -1.446684109063774824e+09 7.764633484474366903e+08 2.340871136717799187e+09 5.966283075204973221e+09
1.555555555555555580e-01 1.631366568263853325e-04 1.126376482196611661e+01 0.000000000000000000e+00 -5.858562648696899414e+06 -4.747718164150039673e+09 -3.529890811688516617e+09 -1.495108072217653990e+09 7.572377025478360653e+08 2.407780010090787888e+09 5.975714542344367027e+09
1.651515151515151603e-01 1.992002488709178690e-04 1.213585955988793152e+01 0.000000000000000000e+00 -4.777821886596679688e+06 -4.907112686544857979e+09 -3.610647027478296757e+09 -1.545613375877257586e+09 7.364030404815560579e+08 2.471210469564982891e+09 5.985141146685864449e+09
1.747474747474747625e-01 2.398421417669691612e-04 1.299320031465815362e+01 0.000000000000000000e+00 -3.903865299453735352e+06 -5.069829374668611526e+09 -3.694978096351583004e+09 -1.598195672729974270e+09 7.139215067676116228e+08 2.530762245193025589e+09 5.994471790240999222e+09
1.843434343434343092e-01 2.851255428755666626e-04 1.383472358557974147e+01 0.000000000000000000e+00 -3.195909901428222656e+06 -5.235449238640023232e+09 -3.782723560220831871e+09 -1.652849626058612823e+09 6.897592072963339090e+08 2.586125438547865391e+09 6.003615109248098373e+09
1.939393939393939115e-01 3.350689953135096684e-04 1.465970462381340766e+01 0.000000000000000000e+00 -2.621383220214843750e+06 -5.403597242552531242e+09 -3.873725204841681004e+09 -1.709567597503989935e+09 6.638863369412380457e+08 2.637073302663854599e+09 6.012480017561039925e+09
2.035353535353535137e-01 3.896499534547603438e-04 1.546767062548964233e+01 0.000000000000000000e+00 -2.154256016693115234e+06 -5.573937636486583710e+09 -3.967827610369519234e+09 -1.768338880903934717e+09 6.362772245268955231e+08 2.683454193989274502e+09 6.020976210026852608e+09
2.131313131313131159e-01 4.488086741205667444e-04 1.625833550871125865e+01 0.000000000000000000e+00 -1.773749142608642578e+06 -5.746169606150144577e+09 -4.064878594799275398e+09 -1.829149319239555359e+09 6.069103086519615650e+08 2.725182895872041702e+09 6.029014622679360390e+09
2.227272727272727182e-01 5.124522367180408319e-04 1.703155142485473306e+01 0.000000000000000000e+00 -1.463211915435791016e+06 -5.920023299171317101e+09 -4.164729561781679153e+09 -1.891981182125096798e+09 5.757680574594758749e+08 2.762231580735170364e+09 6.036507847775400162e+09
2.323232323232323204e-01 5.804585546623223158e-04 1.778727297957711428e+01 0.000000000000000000e+00 -1.209314277191162109e+06 -6.095256246665057182e+09 -4.267235764263041496e+09 -1.956813214411753178e+09 5.428368446442836523e+08 2.794620714833175659e+09 6.043370502739838600e+09
