"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,2624937725.56086,3103905207.14857,6278157654.72392,7851942132.92186,8363809143.20178,10057771237.5228,10298380264.9565
4,2968259201.44386,3937442090.37203,6809507057.35111,9174546910.91721,9245051833.81917,9851809445.40847,10995687151.6716
6,3037081495.47574,4267903313.99763,6978735930.9094,9472289786.11008,9614722870.01086,9713216730.67624,11129377306.9082
8,3048778910.81944,4464740060.70325,7044221619.80991,9565029953.45202,9576506910.42993,9852115739.18679,11162761255.22
10,3035502578.19686,4587136828.31735,7070563465.31826,9447199133.33372,9604324550.4227,9987922682.5118,11160794999.775
12,3032788639.71662,4713546613.28548,7100391319.46364,9373132274.96528,9645292517.75695,10115534632.4015,11179162856.4875
14,2990289620.47954,4750589351.94296,7060675717.56841,9229730587.07319,9599654335.64988,10143844297.9677,11128849081.8988
16,3002326290.43851,4832647053.21632,7087275391.17483,9197914454.22823,9641834905.01105,10240207987.613,11130559678.1712
18,3005883364.09748,4931301565.40968,7122875782.40068,9146957469.81671,9680100213.02409,10331350427.8578,11142091501.8578
20,2974743661.02468,4951145649.04153,7082935761.6003,9049381715.22761,9644635006.62227,10352810738.4566,11083663112.0468
