"side_separation [um]","MaxDeltaFreq []"
1.5,0.0936346398561643
2.73684210526316,0.0735981383535464
3.97368421052632,0.061982870480999
5.21052631578947,0.0824004265370243
6.44736842105263,0.0975264635259037
7.68421052631579,0.0832405564906971
8.92105263157895,0.0655373866387362
10.1578947368421,0.0830263397384864
11.3947368421053,0.09559253326954
12.6315789473684,0.0920320579499599
13.8684210526316,0.229568889183071
15.1052631578947,21.7722215660739
16.3421052631579,0.159906335049053
17.5789473684211,7.66227993059014
18.8157894736842,5.90204723506006
20.0526315789474,0.0838576040537589
21.2894736842105,0.0969139416584223
22.5263157894737,0.108979884884708
23.7631578947368,0.0711288219365016
25,0.0801158493653058
