"side_separation [um]","MaxDeltaFreq []"
2,2.28044688366044
4,1.5524166874039
6,4.95686944179975
8,5.95169568939462
10,0.497891122248581
12,1.79249507454012
14,7.59345309340936
16,5.02844388797571
18,5.35474975039496
20,3.28456345618415
