# El	 r	 dHdphi_overDelta_square_elements_list	 d2f01dphi2_abs_list	 dHdr_overDelta_square_matrix_elements_list	 df01dr_abs 
14157232.601517623	0.05	1.4915444429407596e-06	1647523.1725527397	0.0027094922181357625	7498781626.49458
14157232.601517623	0.06999999999999999	2.4450467393783973e-06	724638.4237601743	0.0013885043948488555	7638243884.237074
14157232.601517623	0.09	3.20595557106658e-06	377574.1557737771	0.0007758632323913182	7038951295.683793
14157232.601517623	0.11	3.831403550283242e-06	219138.4750934675	0.0004772336840598683	6353875889.382746
14157232.601517623	0.13	4.362776355934527e-06	136794.0281752789	0.00031725821856063937	5702346519.829799
14157232.601517623	0.15000000000000002	4.824814241887813e-06	89963.7205987987	0.00022450422765916728	5126384864.632775
14157232.601517623	0.17	5.2329250753104485e-06	61514.86074466867	0.0001667629198665044	4622128952.490555
14157232.601517623	0.19	5.597314087683004e-06	43363.37092472035	0.0001285901678037235	4180254482.78541
14157232.601517623	0.21000000000000002	5.925262197794889e-06	31329.946077552126	0.00010231777660607245	3793533972.7362447
14157232.601517623	0.23	6.222263037267663e-06	23091.396071758016	8.35796601347588e-05	3454557896.165732
14157232.601517623	0.25	6.492493898950051e-06	17298.7568143791	6.964418427638416e-05	3153815643.4482718
14157232.601517623	0.27	6.739187282997799e-06	13138.381759006943	5.894647321021618e-05	2884806129.140335
14157232.601517623	0.29000000000000004	6.965036999133319e-06	10095.286005117558	5.057091686864699e-05	2644726438.859314
14157232.601517623	0.31	7.172357608145451e-06	7832.765792254434	4.385509106881861e-05	2429750327.350212
14157232.601517623	0.33	7.3630267143161065e-06	6127.06945406786	3.833904566638174e-05	2234922069.9428205
14157232.601517623	0.35000000000000003	7.5385818584896445e-06	4825.727431149389	3.3735397231801985e-05	2057782905.6684103
14157232.601517623	0.37	7.700439538310995e-06	3822.4541008386213	2.9833779481127797e-05	1897515789.6637032
14157232.601517623	0.39	7.849894889495748e-06	3042.107111411688	2.6479107717227236e-05	1751837540.2649093
14157232.601517623	0.41000000000000003	7.988003758537012e-06	2430.3029408928096	2.356783850899177e-05	1618052788.6607282
14157232.601517623	0.43	8.115667805009699e-06	1947.0880091032259	2.10155509077815e-05	1495376636.2603574
14157232.601517623	0.45	8.233778243989191e-06	1563.1721732717083	1.8755038242798972e-05	1383510948.9964786
14157232.601517623	0.47000000000000003	8.343152445332533e-06	1256.7494765263586	1.6741941202034256e-05	1280712818.4396036
14157232.601517623	0.49	8.44444404432858e-06	1011.1535336243891	1.4939736621648302e-05	1185305432.6070507
14157232.601517623	0.51	8.538228596540121e-06	813.5176487217104	1.331982852509821e-05	1097188485.8283956
14157232.601517623	0.53	8.625086699029381e-06	653.9105011999798	1.186210761918772e-05	1016172598.46405
14157232.601517623	0.55	8.70554007789279e-06	524.7582810697621	1.0542014938385024e-05	940774073.9614868
14157232.601517623	0.5700000000000001	8.780002505222535e-06	420.2272887701595	9.340607905361885e-06	869950589.7602036
14157232.601517623	0.59	8.848841961036787e-06	335.5095106289094	8.255087403919216e-06	803942035.1262931
14157232.601517623	0.61	8.912426404854475e-06	266.66242970428834	7.276392751358498e-06	742508733.5487974
14157232.601517623	0.63	8.971083155838844e-06	210.7621774355481	6.383550152445502e-06	684456658.0192118
14157232.601517623	0.65	9.02507370216281e-06	165.55846181278497	5.569784643871991e-06	629338352.8138357
14157232.601517623	0.67	9.074638012390286e-06	129.02833746859764	4.838854620710203e-06	577547692.1275722
14157232.601517623	0.6900000000000001	9.120021922968814e-06	99.49298917347974	4.181090330268931e-06	528749440.1668849
14157232.601517623	0.7100000000000001	9.161443011100176e-06	75.76790329412049	3.5821462693731146e-06	482098483.22821575
14157232.601517623	0.73	9.199079446201985e-06	56.89769592502121	3.0416529784507574e-06	437592851.29426455
14157232.601517623	0.75	9.233111838736288e-06	41.97098678437513	2.5613051275829433e-06	395594600.8361406
14157232.601517623	0.77	9.263729506081258e-06	30.249088705646393	2.132475242452816e-06	355695281.4028123
14157232.601517623	0.79	9.291094266109815e-06	21.21248156605716	1.7472199644294027e-06	317364298.79503244
14157232.601517623	0.81	9.3153501698752e-06	14.40639315871139	1.406773885744365e-06	280825315.05161595
14157232.601517623	0.8300000000000001	9.336655932239942e-06	9.381389715713393	1.1113538348511109e-06	246272746.1773352
14157232.601517623	0.85	9.355165046334638e-06	5.774441594638246	8.543372503056965e-07	213214214.47206277
14157232.601517623	0.87	9.371004425064341e-06	3.3149511513298124	6.318363768016799e-07	181343444.20635882
14157232.601517623	0.89	9.38429880003918e-06	1.7405203614827014	4.461717625985526e-07	150951086.87117937
14157232.601517623	0.91	9.395174289336904e-06	0.7983062388407194	2.9634336383352006e-07	121957345.06486624
14157232.601517623	0.93	9.40373383851421e-06	0.29565278404920337	1.772676099700646e-07	93750761.80612256
14157232.601517623	0.9500000000000001	9.410062824743205e-06	0.07855747679892255	8.869434200264093e-08	66227983.22753455
14157232.601517623	0.97	9.41423692195924e-06	0.010931609413393852	3.16434943423238e-08	39479764.331438735
14157232.601517623	0.99	9.416308352416798e-06	0.000150745680030535	3.56105967498823e-09	13380382.659907058
16844865.640996374	0.01	7.406949857674663e-08	5790759.763735949	0.008907372971296646	2363563656.1222005
16844865.640996374	0.03	8.995605380692384e-07	2358879.6753677824	0.005707098839865881	7075048921.982532
16844865.640996374	0.05	2.1079616151854136e-06	628855.7272471278	0.002237277712750214	8646039174.779882
16844865.640996374	0.06999999999999999	3.1680002326600114e-06	205515.49867477754	0.0008990180821877636	8301451158.949271
16844865.640996374	0.09	4.061052727234422e-06	81101.38042855315	0.0004210519748867083	7539549251.561981
16844865.640996374	0.11	4.828193548144458e-06	36820.14176692155	0.00023101596964214373	6737774818.991166
16844865.640996374	0.13	5.4991258605158174e-06	18530.13374297197	0.00014515809367188882	6014266605.081378
16844865.640996374	0.15000000000000002	6.0933412058934944e-06	10078.656793926992	0.00010157231149920432	5382459332.170065
16844865.640996374	0.17	6.624304065019148e-06	5822.900488205582	7.712307801009704e-05	4836595799.963333
16844865.640996374	0.19	7.102030200555347e-06	3530.147868793233	6.218001653206537e-05	4365640192.124223
16844865.640996374	0.21000000000000002	7.534275652121271e-06	2225.9944510514492	5.233119953031575e-05	3956991306.865737
16844865.640996374	0.23	7.927066200684617e-06	1450.297965198044	4.538942074111363e-05	3598890882.604365
16844865.640996374	0.25	8.285228659733153e-06	971.2954024184128	4.019712953488422e-05	3283446796.943995
16844865.640996374	0.27	8.612849406161964e-06	665.8391314957568	3.6114815118749286e-05	3005030572.006281
16844865.640996374	0.29000000000000004	8.913393283577396e-06	465.5630101399745	3.276116622824713e-05	2757505337.9249635
16844865.640996374	0.31	9.18971319726919e-06	331.19277682179205	2.9889306585720357e-05	2535269842.4433928
16844865.640996374	0.33	9.444217692205321e-06	239.25696152117393	2.7364613692273625e-05	2335229394.197377
16844865.640996374	0.35000000000000003	9.679043082604199e-06	175.05994294341772	2.512045036001521e-05	2155295810.160472
16844865.640996374	0.37	9.896063965137684e-06	129.3678635361863	2.3081238914595588e-05	1992285792.4268634
16844865.640996374	0.39	1.0096874614917685e-05	96.51037058067774	2.1179193403088647e-05	1843158844.3596032
16844865.640996374	0.41000000000000003	1.0282850349692647e-05	72.7030300377512	1.9410898772158825e-05	1706668455.9558265
16844865.640996374	0.43	1.0455215530182627e-05	55.14046326992081	1.778622084325159e-05	1581971423.528904
16844865.640996374	0.45	1.0615062131508496e-05	41.96269792204709	1.6265599252549893e-05	1467135043.762676
16844865.640996374	0.47000000000000003	1.0763350145204974e-05	32.09255889156161	1.4816466950182385e-05	1360419187.7958117
16844865.640996374	0.49	1.0900916460746885e-05	24.709796658796854	1.3460320625871676e-05	1261389273.2564812
16844865.640996374	0.51	1.1028500853085753e-05	19.07156144886989	1.220972486013942e-05	1169647152.0880425
16844865.640996374	0.53	1.1146777964911844e-05	14.700025469338595	1.1034606217636374e-05	1083975737.7574162
16844865.640996374	0.55	1.1256362283029594e-05	11.353961756727236	9.9201289818871e-06	1003447891.5470512
16844865.640996374	0.5700000000000001	1.1357795745079372e-05	8.805345245070592	8.885271036697618e-06	927966937.9332654
16844865.640996374	0.59	1.1451561853048198e-05	6.816889037597886	7.933639698623808e-06	857292758.6558559
16844865.640996374	0.61	1.153811446991671e-05	5.249077901841651	7.0457844231688716e-06	790696270.4990472
16844865.640996374	0.63	1.1617876827641875e-05	4.036179022831691	6.216383589675545e-06	727716518.1900383
16844865.640996374	0.65	1.169122872813118e-05	3.1015938134807057	5.454678348573342e-06	668321046.2396976
16844865.640996374	0.67	1.1758517591020989e-05	2.3660235802250345	4.758818673540989e-06	612318692.1747305
16844865.640996374	0.6900000000000001	1.1820073735464742e-05	1.7855814093176254	4.118882140763914e-06	559287959.4479737
16844865.640996374	0.7100000000000001	1.1876205329266645e-05	1.336387180792748	3.5328404253555635e-06	508984451.1426094
16844865.640996374	0.73	1.1927194096268024e-05	0.9900817520664695	3.0025772991354725e-06	461345259.79331553
16844865.640996374	0.75	1.1973303650417655e-05	0.7206055416474727	2.524977397689019e-06	416200790.37451845
16844865.640996374	0.77	1.2014782529790013e-05	0.5129154805980115	2.0953869855308038e-06	373291476.2197091
16844865.640996374	0.79	1.2051860043191848e-05	0.3565495131018745	1.7121449304255799e-06	332461843.05040014
16844865.640996374	0.81	1.2084749346215082e-05	0.24050155978014526	1.3741442346187426e-06	293632871.91808236
16844865.640996374	0.8300000000000001	1.2113652041270875e-05	0.15550244389186113	1.078794177759696e-06	256662239.77325585
16844865.640996374	0.85	1.2138755176842045e-05	0.09523560949145406	8.234057028251218e-07	221373783.73575357
16844865.640996374	0.87	1.2160230511754323e-05	0.05457547482336271	6.061863894026251e-07	187660198.018947
16844865.640996374	0.89	1.2178240060356919e-05	0.028591999967725296	4.2551847632554117e-07	155449597.70454
16844865.640996374	0.91	1.219293649063235e-05	0.013075849813361332	2.793757017997138e-07	124621848.16927034
16844865.640996374	0.93	1.2204459036692755e-05	0.004851807394721133	1.6567468649618952e-07	95041562.34703103
16844865.640996374	0.9500000000000001	1.221293541830092e-05	0.0012965932489664368	8.280495386375391e-08	66626569.55152231
16844865.640996374	0.97	1.2218484670524413e-05	0.00018101942425182067	2.9235216143210255e-08	39278008.308574505
16844865.640996374	0.99	1.2221214236893385e-05	2.509292251037196e-06	3.1936186507303487e-09	12921143.770271756
20042723.493347347	0.01	4.740635334388636e-07	1198737.1130225223	0.00951946069085306	7072274962.634899
20042723.493347347	0.03	1.7109470420401567e-06	671952.9504205985	0.0028072799064041954	9312505742.894983
20042723.493347347	0.05	3.001003168538287e-06	219460.97033915995	0.0010494635758157263	9614865991.057636
20042723.493347347	0.06999999999999999	4.219914670126077e-06	71085.13999611483	0.0004439822485613587	8856973001.779606
20042723.493347347	0.09	5.307040655113744e-06	25405.678841890578	0.0002213071275789802	7981570489.415215
20042723.493347347	0.11	6.2682988545659045e-06	10064.531429084864	0.00013113215687757826	7129850306.30622
20042723.493347347	0.13	7.12137720842835e-06	4360.1714298834595	9.02366793769305e-05	6378462629.028354
20042723.493347347	0.15000000000000002	7.882989073682695e-06	2036.3390543593466	6.9578237128025e-05	5726361138.92516
20042723.493347347	0.17	8.567002935028544e-06	1012.4114686992306	5.806131079466716e-05	5164092454.682634
20042723.493347347	0.19	9.184591715865014e-06	530.3806075792727	5.096307290756451e-05	4676652375.575192
20042723.493347347	0.21000000000000002	9.744750615848354e-06	290.78101342273754	4.612182709492578e-05	4251324940.633172
20042723.493347347	0.23	1.0254822300792695e-05	165.9138205594939	4.253485480047752e-05	3878385767.6086287
20042723.493347347	0.25	1.0720877069406308e-05	97.79957393694282	3.966925125614146e-05	3549538829.995635
20042723.493347347	0.27	1.1147969378981354e-05	59.19340827200708	3.717066540263579e-05	3257066853.033255
20042723.493347347	0.29000000000000004	1.1540337115548543e-05	36.7714065959102	3.486038901199184e-05	2995055116.8089724
20042723.493347347	0.31	1.1901558716676636e-05	23.426163555297414	3.2707725773371933e-05	2759578871.796097
20042723.493347347	0.33	1.223468526725519e-05	15.180006304770115	3.068195181259363e-05	2547132742.1723037
20042723.493347347	0.35000000000000003	1.2542355536108807e-05	9.941565588507252	2.8707891428368128e-05	2354059240.981731
20042723.493347347	0.37	1.2826865066197719e-05	6.613639151396842	2.6761754998253474e-05	2177581932.393172
20042723.493347347	0.39	1.3090199661660803e-05	4.483959166734224	2.4885146218079748e-05	2016035555.4690702
20042723.493347347	0.41000000000000003	1.3334088225050295e-05	3.064621306158719	2.3091166682879514e-05	1867827666.351454
20042723.493347347	0.43	1.3560071437989343e-05	2.0939973643693617	2.1348151864505827e-05	1731106386.0722551
20042723.493347347	0.45	1.3769531376290157e-05	1.4436515118457485	1.9650303509554752e-05	1604456142.8976617
20042723.493347347	0.47000000000000003	1.3963690993457796e-05	1.0113891862193767	1.802675269044979e-05	1487058088.0037842
20042723.493347347	0.49	1.4143635686451547e-05	0.7112977892349622	1.6487849142778146e-05	1378101698.557588
20042723.493347347	0.51	1.431035260694946e-05	0.497177006868491	1.501872232536909e-05	1276612008.9035623
20042723.493347347	0.53	1.4464745234335733e-05	0.34888961296965876	1.3616232484804182e-05	1181814058.2441556
20042723.493347347	0.55	1.4607629168677304e-05	0.2479054354235079	1.2292677045733962e-05	1093211960.874402
20042723.493347347	0.5700000000000001	1.473974103513459e-05	0.1763744809543639	1.105169541284374e-05	1010317410.136816
20042723.493347347	0.59	1.486175754032766e-05	0.12440885611544726	9.886446097112632e-06	932578871.7968807
20042723.493347347	0.61	1.4974302708870558e-05	0.08772234317207843	8.794492357123697e-06	859533321.9868149
20042723.493347347	0.63	1.5077946902101916e-05	0.06226631416387715	7.778655548238618e-06	790833616.1584125
20042723.493347347	0.65	1.5173211544633771e-05	0.04407776421725756	6.838494925952747e-06	726146549.4431071
20042723.493347347	0.67	1.5260577487203412e-05	0.03085278857541154	5.970192879960483e-06	665130133.6716179
20042723.493347347	0.6900000000000001	1.534048876513061e-05	0.021457807204856245	5.17131274501247e-06	607484200.3594772
20042723.493347347	0.7100000000000001	1.541335395747908e-05	0.014882001453547396	4.440781298380735e-06	552957390.0211235
20042723.493347347	0.73	1.5479549491921398e-05	0.010209326072903747	3.7765091485754063e-06	501315100.76571316
20042723.493347347	0.75	1.553942343815216e-05	0.006872989258674535	3.175569475637086e-06	452331752.72730213
20042723.493347347	0.77	1.5593297698300952e-05	0.004541797447114852	2.63540401954294e-06	405804191.5837809
20042723.493347347	0.79	1.564146997915721e-05	0.002942078996392951	2.153730557231648e-06	361553905.0517993
20042723.493347347	0.81	1.5684216254460917e-05	0.0018498278296232196	1.728037109419075e-06	319417109.4727149
20042723.493347347	0.8300000000000001	1.5721792693282224e-05	0.0011157735097354694	1.3556840889430993e-06	279240054.8272674
20042723.493347347	0.85	1.575443700189972e-05	0.0006398448106647127	1.0341402991347491e-06	240882569.68203965
20042723.493347347	0.87	1.578237013529285e-05	0.0003442875633192961	7.609554752986347e-07	204219622.07583314
20042723.493347347	0.89	1.580579805873095e-05	0.00016934931487676792	5.336866160767739e-07	169136369.76082733
20042723.493347347	0.91	1.582491279253573e-05	7.283274695836616e-05	3.4991856200298036e-07	135524977.65473655
20042723.493347347	0.93	1.58398931797388e-05	2.555659750827936e-05	2.0730222429015238e-07	103285791.78399839
20042723.493347347	0.9500000000000001	1.5850906113177545e-05	6.475869826938111e-06	1.0356767647395279e-07	72330780.67885867
20042723.493347347	0.97	1.5858107631252062e-05	8.55296751201704e-07	3.650813876139882e-08	42567020.30510227
20042723.493347347	0.99	1.5861643327634375e-05	1.127595552148403e-08	3.972177781778909e-09	13942039.660181321
23847668.102089796	0.01	1.5789007325438959e-06	211815.33194896288	0.0032318545808458963	10954333553.310535
23847668.102089796	0.03	2.768233325718735e-06	37423.81092947709	0.0005619501578125727	11034945581.84183
23847668.102089796	0.05	4.220722157516826e-06	45518.108747304024	0.00026160493270630333	10438084522.520197
23847668.102089796	0.06999999999999999	5.688412884962919e-06	25178.393978087635	0.00016059788240581897	9482684792.982462
23847668.102089796	0.09	7.035250251318712e-06	13095.594370175917	0.00011594105477946844	8527796018.6877775
23847668.102089796	0.11	8.242147938815874e-06	7095.474005833389	9.32492028812004e-05	7645989008.636279
23847668.102089796	0.13	9.321406001912368e-06	4051.6160356854693	8.037761648347468e-05	6868840530.420641
23847668.102089796	0.15000000000000002	1.0290026400937337e-05	2423.351989259842	7.223442057096424e-05	6190771280.059021
23847668.102089796	0.17	1.1163463928654273e-05	1506.7724623884733	6.64857514577027e-05	5600285062.68565
23847668.102089796	0.19	1.1954644763034668e-05	967.6166234200716	6.205455868233248e-05	5084574314.669014
23847668.102089796	0.21000000000000002	1.267418834369027e-05	637.6913216547254	5.8387806586639644e-05	4632131366.253203
23847668.102089796	0.23	1.3330848945550664e-05	428.8927042054493	5.512168952393262e-05	4232674524.32111
23847668.102089796	0.25	1.3931912115511927e-05	293.48296933725504	5.204608898722691e-05	3877661987.478417
23847668.102089796	0.27	1.4483483235571399e-05	203.96462660439147	4.9101202101039676e-05	3560468213.4447007
23847668.102089796	0.29000000000000004	1.4990713224479527e-05	143.53641391018064	4.627236522617695e-05	3275766787.192773
