children: []
meta:
  creationTime: 1715711158.8723123
  dataType: !!python/name:numpy.float64 ''
  defaults: {}
  description: ''
  fieldMap: {freq: 0, mag: 1, phase: 2}
  fieldNames: [freq, mag, phase]
  filename: \\132.166.23.175\room8a-data\FERBO\FB_W10_S4\run2\FBW10S4_204062-children\FBW10S4_204169.txt
  index: 251
  length: 251
  modificationTime: 1715711213.3883972
  name: FBW10S4_204169
  tags: ''
parameters: {}
tablefilename: FBW10S4_204169.txt
version: '1.0'
#end of header
freq	mag	phase
9.8	3.7618112564086914	27.855716705322266
9.802	2.8639135360717773	27.805490493774414
9.804	2.912365436553955	27.062501907348633
9.806	2.9154703617095947	27.801904678344727
9.808	2.8792786598205566	28.701589584350586
9.81	2.870302200317383	26.63115119934082
9.812	2.676933526992798	28.494054794311523
9.814	2.707062244415283	29.575897216796875
9.816	2.762387752532959	28.05280303955078
9.818	2.6847174167633057	30.850496292114258
9.82	2.7897465229034424	27.549503326416016
9.822	2.7380380630493164	29.209949493408203
9.824	2.8733513355255127	27.63723373413086
9.826	2.8946115970611572	29.146352767944336
9.828	2.878545045852661	30.062530517578125
9.83	2.995368003845215	29.35022735595703
9.832	3.0231869220733643	27.548477172851562
9.834	2.972893238067627	28.109283447265625
9.836	2.9859817028045654	30.205665588378906
9.838	3.356424331665039	30.74563980102539
9.84	3.6122207641601562	34.75404357910156
9.842	3.910459041595459	37.18472671508789
9.844	4.158329486846924	39.1644172668457
9.846	4.3302483558654785	41.789329528808594
9.848	4.832137107849121	40.51061248779297
9.85	5.1999125480651855	33.272212982177734
9.852	6.090763092041016	32.70063018798828
9.854	3.539030075073242	26.53365135192871
9.856	3.290709972381592	25.583982467651367
9.858	2.578655242919922	26.09078598022461
9.86	2.375082492828369	26.921228408813477
9.862	2.668980598449707	29.770633697509766
9.864	2.872488021850586	29.330078125
9.866	2.778015613555908	27.79276466369629
9.868	2.5949363708496094	28.67008399963379
9.87	2.6355555057525635	26.064496994018555
9.872	2.6739981174468994	25.762277603149414
9.874	2.9355502128601074	29.654451370239258
9.876	2.921041250228882	28.35922622680664
9.878	2.8947808742523193	29.44418716430664
9.88	2.957611560821533	27.15667724609375
9.882	2.9110512733459473	27.891643524169922
9.884	2.8432042598724365	30.16603660583496
9.886	2.7421584129333496	27.961091995239258
9.888	2.8689334392547607	29.317541122436523
9.89	2.904798746109009	30.08839988708496
9.892	2.853563070297241	31.690574645996094
9.894	2.857926607131958	30.9945068359375
9.896	2.8442959785461426	27.662254333496094
9.898	2.776963710784912	30.045780181884766
9.9	2.979548215866089	29.05226707458496
9.902	3.0225863456726074	30.061906814575195
9.904	3.301705837249756	26.494483947753906
9.906	3.259537696838379	26.073490142822266
9.908	3.0177195072174072	26.780202865600586
9.91	2.9816715717315674	26.440528869628906
9.912	2.787273645401001	28.33531951904297
9.914	2.8700029850006104	27.481111526489258
9.916	2.89639949798584	28.697954177856445
9.918	2.734175682067871	29.369096755981445
9.92	2.725634813308716	27.624053955078125
9.922	2.7932310104370117	26.000049591064453
9.924	2.775303840637207	28.88762855529785
9.926	2.7965593338012695	27.128854751586914
9.928	2.9481310844421387	29.21414566040039
9.93	3.070702314376831	27.198198318481445
9.932	3.282318353652954	30.512117385864258
9.934	3.603285551071167	34.136966705322266
9.936	3.6145966053009033	33.48333740234375
9.938	3.100464105606079	32.615570068359375
9.94	2.9852402210235596	31.792842864990234
9.942	2.9201884269714355	31.202817916870117
9.944	2.935002565383911	30.3640193939209
9.946	2.853816509246826	29.58319854736328
9.948	2.861478090286255	28.7576961517334
9.95	2.9077913761138916	28.19583511352539
9.952	2.8980824947357178	29.639162063598633
9.954	2.939819812774658	26.860437393188477
9.956	2.881178617477417	26.836267471313477
9.958	2.8130722045898438	27.773866653442383
9.96	2.836414337158203	27.107059478759766
9.962	2.80151629447937	28.416460037231445
9.964	2.7518348693847656	27.263347625732422
9.966	2.6461377143859863	26.622379302978516
9.968	2.834973096847534	25.61644744873047
9.97	2.8048970699310303	27.330482482910156
9.972	2.6046783924102783	26.071592330932617
9.974	2.4919192790985107	25.182708740234375
9.976	2.5731136798858643	27.882434844970703
9.978	2.7401556968688965	26.470317840576172
9.98	2.730959415435791	25.886980056762695
9.982	2.7426459789276123	23.39287757873535
9.984	2.911797046661377	24.653066635131836
9.986	4.528928756713867	37.41386413574219
9.988	6.0473551750183105	53.13026809692383
9.99	5.127491474151611	65.05170440673828
9.992	2.9006550312042236	57.35367965698242
9.994	2.1467111110687256	47.30253219604492
9.996	2.1027817726135254	40.28073501586914
9.998	2.7645485401153564	30.73358726501465
10.0	2.7028913497924805	32.090145111083984
10.002	3.0704147815704346	30.05095100402832
10.004	3.0160062313079834	30.937406539916992
10.006	3.109065532684326	29.97683334350586
10.008	3.013458728790283	27.604692459106445
10.01	2.8804612159729004	29.02130699157715
10.012	2.9382565021514893	24.18694496154785
10.014	2.5408453941345215	21.24521827697754
10.016	2.045896530151367	24.248506546020508
10.018	2.2955968379974365	25.14414405822754
10.02	2.211078643798828	22.03661346435547
10.022	2.324805498123169	26.518543243408203
10.024	2.173616647720337	21.943721771240234
10.026	1.9845995903015137	23.56822395324707
10.028	2.4183430671691895	23.430517196655273
10.03	2.478461980819702	24.39103889465332
10.032	2.6441667079925537	23.668203353881836
