phi,wfunc0_up_,wfunc0_down,wfunc1_up,wfunc1_down
-8.0,6.458759726382226e-07,0.0,0.0,6.950045266029762e-06
-7.996799359871974,7.333353725547169e-07,0.0,0.0,7.111843295082687e-06
-7.993598719743948,8.2621822979506e-07,0.0,0.0,7.273977123269941e-06
-7.9903980796159235,9.244894461080986e-07,0.0,0.0,7.436374214867989e-06
-7.987197439487898,1.0281117002753304e-06,0.0,0.0,7.598962624639425e-06
-7.983996799359872,1.137044845230076e-06,0.0,0.0,7.761669986552588e-06
-7.980796159231846,1.2512459284154757e-06,0.0,0.0,7.924422571029858e-06
-7.97759551910382,1.3706693094677926e-06,0.0,0.0,8.087148032302732e-06
-7.974394878975795,1.495267116389271e-06,0.0,0.0,8.249773147595487e-06
-7.97119423884777,1.6249883487204229e-06,0.0,0.0,8.412224733213496e-06
-7.967993598719744,1.7597799376664845e-06,0.0,0.0,8.574429432851291e-06
-7.964792958591718,1.8995856423628746e-06,0.0,0.0,8.736313804050444e-06
-7.961592318463692,2.0443469338205737e-06,0.0,0.0,8.89780447756981e-06
-7.9583916783356665,2.194002923177567e-06,0.0,0.0,9.058828518982764e-06
-7.955191038207642,2.3484906355391416e-06,0.0,0.0,9.219313100763575e-06
-7.951990398079616,2.507742833493272e-06,0.0,0.0,9.379184122667487e-06
-7.94878975795159,2.6716923103579634e-06,0.0,0.0,9.538369866955855e-06
-7.945589117823564,2.8402676090652608e-06,0.0,0.0,9.696796467372676e-06
-7.9423884776955385,3.0133955500250967e-06,0.0,0.0,9.854392512042123e-06
-7.939187837567514,3.191000572753844e-06,0.0,0.0,1.0011084995476492e-05
-7.935987197439488,3.373005051282822e-06,0.0,0.0,1.0166802281272634e-05
-7.932786557311462,3.559328530447636e-06,0.0,0.0,1.0321472846689409e-05
-7.929585917183436,3.7498882601469175e-06,0.0,0.0,1.0475024863113483e-05
-7.92638527705541,3.94460035550139e-06,0.0,0.0,1.0627388265493964e-05
-7.923184636927385,4.143377363942182e-06,0.0,0.0,1.0778492042290942e-05
-7.91998399679936,4.346130259148667e-06,0.0,0.0,1.0928266127231955e-05
-7.916783356671334,4.552768694881019e-06,0.0,0.0,1.1076641578298808e-05
-7.913582716543308,4.763198992301473e-06,0.0,0.0,1.122354902523459e-05
-7.910382076415282,4.977325688274143e-06,0.0,0.0,1.1368919633036139e-05
-7.907181436287257,5.195052400631486e-06,0.0,0.0,1.1512686358840948e-05
-7.903980796159232,5.416279897172264e-06,0.0,0.0,1.1654781519395057e-05
-7.900780156031206,5.640907221123543e-06,0.0,0.0,1.1795138996206653e-05
-7.89757951590318,5.868831322316124e-06,0.0,0.0,1.1933692391022281e-05
-7.894378875775155,6.099948326102981e-06,0.0,0.0,1.2070376837530633e-05
-7.89117823564713,6.334151103486228e-06,0.0,0.0,1.2205128062429272e-05
-7.8879775955191045,6.571332692262207e-06,0.0,0.0,1.2337882478916545e-05
-7.884776955391079,6.811382559288687e-06,0.0,0.0,1.2468577097177557e-05
-7.881576315263053,7.05419019809355e-06,0.0,0.0,1.2597150218653258e-05
-7.878375675135027,7.299643087327765e-06,0.0,0.0,1.2723541043111153e-05
-7.875175035007002,7.547626266251333e-06,0.0,0.0,1.2847688887731264e-05
-7.871974394878976,7.7980241434914e-06,0.0,0.0,1.2969534982645763e-05
-7.868773754750951,8.05072064390007e-06,0.0,0.0,1.308902120409058e-05
-7.865573114622925,8.30559636744043e-06,0.0,0.0,1.3206089868928927e-05
-7.862372474494899,8.562532550546271e-06,0.0,0.0,1.3320685350296837e-05
-7.859171834366874,8.821408350203697e-06,0.0,0.0,1.3432752450604343e-05
-7.855971194238848,9.082101263756251e-06,0.0,0.0,1.3542236868618852e-05
-7.852770554110823,9.344488782406541e-06,0.0,0.0,1.3649086023203015e-05
-7.849569913982797,9.608446611113284e-06,0.0,0.0,1.3753248080496477e-05
-7.846369273854771,9.873849781687558e-06,0.0,0.0,1.3854672147968853e-05
-7.843168633726745,1.0140572428872674e-05,0.0,0.0,1.3953309139006525e-05
-7.83996799359872,1.0408487747733965e-05,0.0,0.0,1.404911068288856e-05
-7.8367673534706945,1.0677468072916031e-05,0.0,0.0,1.41420301560415e-05
-7.833566713342669,1.0947385639280021e-05,0.0,0.0,1.4232021752201122e-05
-7.830366073214643,1.1218110479968529e-05,0.0,0.0,1.4319040955039401e-05
-7.827165433086617,1.1489513890382946e-05,0.0,0.0,1.4403044825596139e-05
-7.823964792958592,1.176146517194198e-05,0.0,0.0,1.4483991552508918e-05
-7.8207641528305665,1.2033834171010542e-05,0.0,0.0,1.4561841041097941e-05
-7.817563512702541,1.230648957512647e-05,0.0,0.0,1.4636554250274348e-05
-7.814362872574515,1.257930025527219e-05,0.0,0.0,1.470809322250474e-05
