# El	 r	 phi_matrix_elements_list	 d2E01dphi2_list
50000000.0	0.05	106069.07690956103	21381055.957110304
50000000.0	0.06525423728813559	154435.88779120537	15196197.220562432
50000000.0	0.0805084745762712	213173.07911032805	11064775.368979596
50000000.0	0.09576271186440678	282487.68354635814	8135213.766582291
50000000.0	0.11101694915254237	361837.89380425157	6002880.542076236
50000000.0	0.12627118644067797	450175.40460785705	4434565.5773548195
50000000.0	0.14152542372881355	546181.7636727873	3277273.0703359796
50000000.0	0.15677966101694915	648453.3242171148	2423001.7850179635
50000000.0	0.17203389830508475	755623.4119770448	1792783.456827306
50000000.0	0.18728813559322033	866430.7979349584	1328140.592493673
50000000.0	0.2025423728813559	979750.2266538048	985634.2869726586
50000000.0	0.21779661016949153	1094599.5115568775	733070.6464173797
50000000.0	0.2330508474576271	1210133.8019658125	546653.6763316866
50000000.0	0.24830508474576268	1325633.7977202092	408859.6678743533
50000000.0	0.2635593220338983	1440491.839094932	306804.3708335036
50000000.0	0.2788135593220339	1554197.9557417037	231041.36344066297
50000000.0	0.29406779661016946	1666326.866417426	174637.13074795762
50000000.0	0.30932203389830504	1776526.3179084747	132523.7335033964
50000000.0	0.32457627118644067	1884506.8398718995	100977.66809274137
50000000.0	0.33983050847457624	1990032.8444878643	77260.09739554618
50000000.0	0.3550847457627118	2092914.9395616278	59368.00151269799
50000000.0	0.37033898305084745	2193003.307625851	45816.863549669586
50000000.0	0.385593220338983	2290182.0083611677	35514.140533884834
50000000.0	0.4008474576271186	2384364.07511849	27649.67193263582
50000000.0	0.4161016949152542	2475487.2922420953	21624.43585853495
50000000.0	0.4313559322033898	2563510.555596604	16985.512927264757
50000000.0	0.4466101694915254	2648410.7329975907	13399.671746536478
50000000.0	0.46186440677966095	2730179.953584497	10619.779604049581
50000000.0	0.4771186440677966	2808823.2658680445	8453.188416639507
50000000.0	0.49237288135593216	2884356.6131640924	6758.244397356795
50000000.0	0.5076271186440677	2956805.08270494	5426.724230412943
50000000.0	0.5228813559322034	3026201.3911417658	4376.171806232396
50000000.0	0.538135593220339	3092584.574526533	3543.9376011332824
50000000.0	0.5533898305084746	3155998.855404807	2882.0268785710487
50000000.0	0.5686440677966101	3216492.6635117885	2354.0069755199374
50000000.0	0.5838983050847457	3274117.789823028	1930.2092200990064
50000000.0	0.5991525423728814	3328928.6564899487	1589.7111617086348
50000000.0	0.614406779661017	3380981.6875661868	1313.8112341355363
50000000.0	0.6296610169491526	3430334.767450937	1090.2318079408078
50000000.0	0.6449152542372881	3477046.775712253	907.791989505613
50000000.0	0.6601694915254237	3521177.1884431927	758.7408226708671
50000000.0	0.6754237288135593	3562785.737587347	635.8702491298386
50000000.0	0.690677966101695	3601932.1207778663	534.9141001960529
50000000.0	0.7059322033898305	3638675.755191801	451.3485042310044
50000000.0	0.7211864406779661	3673075.569749772	381.42825482154285
50000000.0	0.7364406779661017	3705189.830708918	323.6316890870271
50000000.0	0.7516949152542373	3735075.996322665	274.78114906440805
50000000.0	0.7669491525423728	3762790.5967817255	233.85672436804066
50000000.0	0.7822033898305085	3788389.136126244	199.30387080348373
50000000.0	0.7974576271186441	3811926.013230485	169.55158914376716
50000000.0	0.8127118644067797	3833454.459322428	144.50942377461564
50000000.0	0.8279661016949152	3853026.4898158293	122.87781363636967
50000000.0	0.8432203389830508	3870692.8685079277	103.87811857936862
50000000.0	0.8584745762711864	3886503.082437042	87.71325010454946
50000000.0	0.873728813559322	3900505.325906885	73.25637020131511
50000000.0	0.8889830508474577	3912746.492369307	60.7926398113366
50000000.0	0.9042372881355932	3923272.17302059	49.73808000103385
50000000.0	0.9194915254237288	3932126.6611092887	39.51694024746525
50000000.0	0.9347457627118644	3939352.9610795593	30.992886249862025
50000000.0	0.95	3944992.801783983	22.34815329190667
56210501.753104344	0.05	143180.6332138425	29107698.161258284
56210501.753104344	0.06525423728813559	203924.68918943507	21113242.754555803
56210501.753104344	0.0805084745762712	275590.12941520265	15720902.00593753
56210501.753104344	0.09576271186440678	358338.05808812886	11835485.739555772
56210501.753104344	0.11101694915254237	451578.5897861998	8949275.72017894
56210501.753104344	0.12627118644067797	554222.2378985726	6777057.977788776
56210501.753104344	0.14152542372881355	664913.231252073	5134395.033817285
56210501.753104344	0.15677966101694915	782208.8912928862	3890914.1345912013
56210501.753104344	0.17203389830508475	904698.4486649918	2950014.065986865
56210501.753104344	0.18728813559322033	1031071.0284768081	2238575.673314418
56210501.753104344	0.2025423728813559	1160147.4966717577	1700929.0969746797
56210501.753104344	0.21779661016949153	1290889.5260357137	1294640.7055648176
56210501.753104344	0.2330508474576271	1422395.7689097412	987488.0424966898
56210501.753104344	0.24830508474576268	1553891.6082619424	755066.637382485
56210501.753104344	0.2635593220338983	1684716.3592476333	578948.3672049327
56210501.753104344	0.2788135593220339	1814310.0591125782	445256.28353913286
56210501.753104344	0.29406779661016946	1942200.9210228035	343547.9530318636
56210501.753104344	0.30932203389830504	2067993.9182062754	265982.020201774
56210501.753104344	0.32457627118644067	2191360.636383201	206671.71588430187
56210501.753104344	0.33983050847457624	2312030.367838781	161185.1960256442
56210501.753104344	0.3550847457627118	2429782.3469728464	126193.53579329804
56210501.753104344	0.37033898305084745	2544439.001732063	99184.24291979527
56210501.753104344	0.385593220338983	2655860.0937080057	78269.75812057519
56210501.753104344	0.4008474576271186	2763937.628969335	62015.69808213656
56210501.753104344	0.4161016949152542	2868591.4348290316	49339.465771837335
56210501.753104344	0.4313559322033898	2969765.3114716513	39415.674338331824
56210501.753104344	0.4466101694915254	3067423.680224321	31618.85763654989
56210501.753104344	0.46186440677966095	3161548.661580106	25471.477943283608
56210501.753104344	0.4771186440677966	3252137.525807867	20602.691113023568
56210501.753104344	0.49237288135593216	3339200.467298106	16734.623787643766
56210501.753104344	0.5076271186440677	3422758.6607585186	13649.729933956201
56210501.753104344	0.5228813559322034	3502842.563255248	11177.745467548972
56210501.753104344	0.538135593220339	3579490.4310764573	9188.839250996934
56210501.753104344	0.5533898305084746	3652747.024580546	7585.730465322442
56210501.753104344	0.5686440677966101	3722662.477752877	6285.943910164911
56210501.753104344	0.5838983050847457	3789291.312235701	5230.567237051189
56210501.753104344	0.5991525423728814	3852691.578190333	4363.665682525476
56210501.753104344	0.614406779661017	3912924.1065786607	3654.2846761166584
56210501.753104344	0.6296610169491526	3970051.8593808836	3070.2413952756033
56210501.753104344	0.6449152542372881	4024139.3659212324	2587.408333454696
56210501.753104344	0.6601694915254237	4075252.2349213143	2186.8289730098622
56210501.753104344	0.6754237288135593	4123456.733153385	1852.7135361025357
56210501.753104344	0.690677966101695	4168819.4226613385	1573.5466533049184
56210501.753104344	0.7059322033898305	4211406.8494750215	1338.6711356835403
56210501.753104344	0.7211864406779661	4251285.277581381	1140.9227901789272
56210501.753104344	0.7364406779661017	4288520.462651236	973.1621032255152
56210501.753104344	0.7516949152542373	4323177.460666293	830.4731190462498
56210501.753104344	0.7669491525423728	4355320.467160195	709.897487690554
56210501.753104344	0.7822033898305085	4385012.683288441	605.6117357466701
56210501.753104344	0.7974576271186441	4412316.205384558	516.826229609861
56210501.753104344	0.8127118644067797	4437291.935050135	438.9896540699583
56210501.753104344	0.8279661016949152	4459999.507170745	373.138362659387
56210501.753104344	0.8432203389830508	4480497.233554396	315.1679336729212
56210501.753104344	0.8584745762711864	4498842.060158879	265.0865483116663
56210501.753104344	0.873728813559322	4515089.536113306	220.44029743011515
56210501.753104344	0.8889830508474577	4529293.792949119	181.8652019424137
56210501.753104344	0.9042372881355932	4541507.532644923	148.47561164271747
56210501.753104344	0.9194915254237288	4551782.023252897	117.75452464740385
56210501.753104344	0.9347457627118644	4560167.10102266	90.62581570461413
56210501.753104344	0.95	4566711.178068053	66.48893911387418
63192410.14671489	0.05	189885.07615060135	38981744.84658644
63192410.14671489	0.06525423728813559	265516.02418937645	28806159.837613318
63192410.14671489	0.0805084745762712	352441.98045454023	21896191.813172802
63192410.14671489	0.09576271186440678	450832.2639102129	16850865.625234477
63192410.14671489	0.11101694915254237	560101.1100219204	13035145.018216807
63192410.14671489	0.12627118644067797	679158.3245999931	10102477.128383521
63192410.14671489	0.14152542372881355	806637.9344305318	7833757.607069927
63192410.14671489	0.15677966101694915	941074.2350498594	6075335.21571073
63192410.14671489	0.17203389830508475	1081020.3564359215	4712576.895717457
63192410.14671489	0.18728813559322033	1225118.416098229	3657294.177315294
63192410.14671489	0.2025423728813559	1372134.616857216	2840751.478271374
63192410.14671489	0.21779661016949153	1520971.5963637023	2209254.6310049416
63192410.14671489	0.2330508474576271	1670667.3682662689	1720891.4017647784
63192410.14671489	0.24830508474576268	1820387.1658454132	1343069.4519984091
63192410.14671489	0.2635593220338983	1969412.1078310825	1050525.0959785485
63192410.14671489	0.2788135593220339	2117126.9496081346	823731.8585644397
63192410.14671489	0.29406779661016946	2263008.127662193	647637.8873706105
63192410.14671489	0.30932203389830504	2406612.6740109706	510647.57208370056
63192410.14671489	0.32457627118644067	2547568.220827196	403852.1360261615
63192410.14671489	0.33983050847457624	2685564.1261289334	320402.453700023
63192410.14671489	0.3550847457627118	2820343.6591438423	255025.04233707295
63192410.14671489	0.37033898305084745	2951697.1456260467	203666.9193756542
63192410.14671489	0.385593220338983	3079455.963280569	163207.0443639161
63192410.14671489	0.4008474576271186	3203487.281280058	131239.23327954204
63192410.14671489	0.4161016949152542	3323689.4476604704	105906.15218804168
63192410.14671489	0.4313559322033898	3439987.939986081	85766.99511340796
63192410.14671489	0.4466101694915254	3552331.8060428007	69702.87905085646
63192410.14671489	0.46186440677966095	3660690.5317046223	56851.01099307873
63192410.14671489	0.4771186440677966	3765051.2820785334	46532.850905202315
63192410.14671489	0.49237288135593216	3865416.4696779437	38224.64286742582
63192410.14671489	0.5076271186440677	3961801.609876322	31509.110680444588
63192410.14671489	0.5228813559322034	4054233.4293197463	26064.402789063897
63192410.14671489	0.538135593220339	4142748.1975544947	21634.152309264537
