"side_separation [um]","MaxDeltaFreq []"
2,0.417024703121933
4,7.54905015786549
6,1.00799490744267
8,0.330632991558114
10,0.476478061985066
12,0.378459962057165
14,0.303929770617149
16,0.391656968731882
18,0.402892141278327
20,0.548903544784845
