"capacitor_length [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []"
1,10522278673.8149,12600231667.2731,13169046847.1148,13404779303.2037,13522057512.5143,13591629063.9219
4.22222222222222,10449439508.6331,12560033832.3828,13148454800.3357,13391281005.8102,13515794634.7388,13588193025.8926
7.44444444444444,10356493436.6369,12519135873.0838,13132814919.8778,13385894007.8686,13514550913.5327,13588931008.3335
10.6666666666667,10241613644.802,12447582500.0152,13118313874.2847,13375866759.133,13511490401.8565,13586688627.8944
13.8888888888889,10029635934.9797,12413767840.8886,13089739659.5206,13361783900.6669,13498960918.9195,13577836254.7246
17.1111111111111,9962470104.09257,12391696214.2628,13082913469.5935,13361358104.9739,13500085044.5359,13578254819.6887
20.3333333333333,9852236866.5636,12368131588.9745,13078259203.4808,13359642934.7036,13499112074.6597,13578382684.4761
23.5555555555556,9740995256.13551,12347738454.1617,13073798728.6876,13359979104.8863,13500703970.3209,13579074191.6136
26.7777777777778,9703299984.61716,12338306649.0962,13069358970.6551,13357863471.2273,13432495038.0934,13483288368.3057
30,9642518345.84041,12326496297.9517,13068776239.8448,13358434271.2717,13500968340.3422,13581210395.9151
